,GRB,Filters,EG B−V,Unnamed: 0,β Ahosto,v,Unnamed: 1,z,References
23,060908,whiteUBVRIJHKgriz,0.027,,0.30,0.05±0.03,,1.8836,72
24,061007,BVRi,0.019,,0.78±0.02,0.48±0.10,,1.2622,73
25,061126,UVM2UVW1UBVRIJKHgri,0.187,,0.95,0.10±0.06,,1.1588,"74,75"
26,070125,UVW2UVM2UVW1UBVRIJHKsgriz,0.052,,0.55±0.04,0.11±0.04,,1.54705,"76,77"
27,071010A,clearUBVRIJHK,0.114,,0.68,0.64±0.09,,0.985,78
28,071025,JHKs,0.059,,0.42±0.08,0.12±20.6,,5.2,79
29,071031,g’r’i’z’JHKs,0.008,,0.64±0.01,0.14±0.13,,2.692,80
30,080109,uvw2uvm2uvw1UBVRIJHKri,0.02,,...,...,,0.007,81
31,080310,clearBVRIJHKwhiteubv,0.043,,0.42±0.12,0.19±0.05,,2.42743,"43,82,83"
32,080319B,whiteclearUVW2UVM2UVW1UBVRIJHKsgriz,0.011,,0.66,0.06±0.03,,0.9371,"84,85,86"
33,080330,UVW1UBVRIJHKgrizwhiteclear,0.016,,0.49,0.19±0.08,,1.5115,"43,87"
34,080413B,g’r’i’z’,0.032,,0.25±0.07,0,,1.1014,88
35,080603A,clearg’r’i’BVRIJHK,0.044,,0.98±0.04,0.90±0.19,,1.67842,89
36,080607,g’r’i’z’clearVRIJHKs,0.023,,1.32±0.07,3.3±0.4,,3.306,90
37,080710,g’r’i’z’JHKs,0.046,,0.80±0.09,0.11±0.04,,0.845,91
38,080810,whiteBVRIunfitbvir,0.031,,0.44±0,0.16±0.02,,3.35104,"43,92"
39,081007,g’r’i’z’JHK,0.015,,0.47±0.09,0.31±0.25,,0.5295,93
40,081008,UVW1UBVwhiteRcCRIcJHKg’r’i’z’,0.095,,1.10±0.04,0.17±0.11,,1.9683,"43,94"
41,081029,g’r’i’z’JHKs,0.028,,1.00±0.01,0.03±0.02,,3.8479,95
42,090102,g’i’z’RJHKs,0.045,,0.74,0.12±0.11,,1.548,96
43,090426,g’r’i’z’R,0.015,,0.76±0.14,0,,2.609,"97,98,99"
44,090510,g’r’i’z’,0.02,,0.85±0.05,0.17±0.21,,0.903,100
45,090618,uvw2uvm2uvw1uBVwhiteRc,0.085,,0.5,0.3±0.1,,0.54,"101,102"
46,090926A,g’r’i’z’,0.023,,0.72±0.17,0.13±0.06,,2.1071,"103,104"
47,091018,g’r’i’z’JHKs,0.034,,0.57±0.01,0.09,,0.9710,105
48,091024,BVRI,0.98,,...,...,,1.0924,106
49,091029,g’r’i’z’,0.013,,0.49±0.12,0,,2.752,107
50,091127,g’r’i’z’,0.037,,0.43±0.10,0.17±0.15,,0.49044,108
51,100316D,BVRIg’r’i’z’JH,0.117,,0.94±0.05,0.43±0.03,,0.0592,109
52,100621A,g’r’i’z’JHKs,0.028,,0.80±0.10,3.65±0.06,,0.542,110
53,100814A,g’r’i’z’JHKs,0.02,,0.47±0.05,<0.04,,1.44,111
54,101219B,g’r’i’z’JHK,0.02,,0.62±0.01,<0.1,,0.55185,112
55,110205A,whiteubvgrizRJHK,0.098,,...,0.35±0.03,,2.21442,113
56,110213A,whiteclearubvgrizBVRI,0.432,,1.22±0.18,...,,1.4607,"110,114,115,116,117"
57,110918A,g’r’i’z’JHKs,0.015,,0.70±0.02,0.16±0.06,,0.984,118
58,111209A,UVW2UVM2UVW1UBVWhiteg’r’i’z’JHK,0.02,,1.07±0.15,0.3-1.5,,0.677,"119,120,121"
59,120119A,clearBVRIJHK,0.109,,0.92±0.02,0.62±0.06,,1.728,122
60,120404A,g’r’i’z’UBVRIJH,0.052,,1.04±0.02,0.07±0.02,,2.8767,123
61,120422A,g’r’i’BVRI,0.068,,0.50,0,,0.28253,"124,125"
62,120711A,g’r’i’z’JHKs,0.075,,0.53±0.02,0.85±0.06,,1.405,126
63,120729A,g’r’i’z’VR,0.162,,1.00±0.10,0.15,,0.80,127
64,120815A,g’r’i’z’,0.096,,0.78±0.01,0.15±0.02,,2.3586,128
65,121024A,g’r’i’z’JHKs,0.128,,0.86±0.01,0.18±0.04,,2.3010,129
66,121217A,g’r’i’z’,0.392,,0.87±0.04,0±0.03,,3.08,130
67,130215A,g’r’i’z’JHK,0.137,,0.90±0.20,0,,0.597,127
68,130427A,g’r’i’z’,0.022,,0.92±0.10,0.13±0.06,,0.3399,"131,132"
69,130702A,clearu’g’r’i’z’UBVRJH,0.031,,0.52±0.19,0.30±0.07,,...,"133,134,135"
70,130831A,g’r’i’z’BRcIc,0.054,,0.85±0.01,0.06±0.04,,0.4791,"123,136, 137"
71,130925A,g’r’i’z’JHK,0.018,,0.32±0.03,5.00±0.70,,0.3479,138
